Ticker,Price,Beta
AAPL,134.32,1.025657
MSFT,261.15,0.892954
AMZN,3340.88,0.715514
FB,301.13,0.980711
GOOGL,2299.93,0.916476
GOOG,2315.3,0.915315
TSLA,729.4,1.628991
BRK/B,271.98,0.877531
JPM,150.19,1.136347
JNJ,165.52,0.727779
V,230,1.033992
UNH,400.31,1.162228
NVDA,610.61,1.144863
HD,323.89,1.171461
MA,387.06,1.181582
DIS,183.02,1.047488
PG,133.94,0.726629
PYPL,266.03,1.084375
BAC,39.18,1.224621
INTC,59.24,0.971815
CMCSA,54.39,0.883076
ADBE,515.84,0.870592
VZ,57.3,0.618658
XOM,55.57,1.092598
NFLX,505.55,0.760048
T,31.4,0.879033
CSCO,51.91,0.848565
ABT,123.31,0.850202
PFE,38.66,0.743159
CRM,233.51,0.988632
KO,54.47,0.999314
PEP,145.83,0.880069
MRK,77.88,0.656035
CVX,101.55,1.179575
ABBV,111.38,0.858376
WMT,139.9,0.551537
TMO,488.09,0.807546
AVGO,466.13,1.109599
ACN,291.74,0.963322
WFC,43.86,1.239997
MDT,131.2,1.063843
MCD,234.58,0.91091
TXN,188.82,0.909951
COST,373.28,0.697769
NKE,130.19,1.089867
DHR,259.78,0.835755
HON,224.5,1.194334
QCOM,135.43,1.066171
NEE,78.24,0.978437
LIN,291.6,1.106888
BMY,66.01,0.808693
LLY,188.72,0.722439
AMGN,257.03,0.727744
LOW,200.93,1.343376
UNP,223.54,1.052682
C,71.38,1.442609
PM,94.61,0.925446
ORCL,74.97,0.726718
SBUX,117.56,1.081525
BA,238.38,2.105236
UPS,178.96,0.858595
IBM,142.43,0.993519
CAT,230.11,0.929841
AMAT,134.86,1.37249
RTX,80.54,1.398582
MS,80.95,1.292088
GE,13.55,1.161101
MMM,202.2,0.856476
GS,339.35,1.276969
DE,376.27,1.164089
BLK,813.17,1.161167
AMT,254.04,0.90761
INTU,414.92,1.12212
NOW,552.7,0.889167
TGT,206.01,0.713503
ISRG,875.53,1.198936
CVS,76.05,0.961507
SCHW,67.14,0.957879
BKNG,2395.43,1.215043
AMD,82.76,1.181937
AXP,144.33,1.422545
SQ,246.43,1.775879
MU,86.03,1.184741
FIS,153.01,1.03617
LMT,377.29,0.947993
CHTR,657.54,0.911457
SPGI,388.14,0.988723
ANTM,381.95,1.245464
CI,251.8,1.168555
LRCX,627.49,1.486449
SYK,267,1.1907
MO,47.39,0.885831
PLD,114.87,1.185021
MDLZ,59.51,0.822952
ADP,195.86,1.041689
TJX,70.39,1.308944
UBER,57.93,1.473081
GILD,65.48,0.495171
ZTS,170.54,0.937632
CCI,187.18,0.869864
CSX,103.11,1.02372
DUK,99.85,0.975876
USB,57.23,1.136194
TMUS,133.32,0.865676
TFC,57.62,1.290797
CB,169.26,1.10255
BDX,255.85,0.587766
CME,207.31,0.833035
PNC,178.04,1.190882
ATVI,93.02,0.764729
GM,57.53,1.467268
EL,313.79,1.009658
FISV,126.02,1.054422
NSC,282,1.059496
CL,79.79,0.702631
SO,65.33,1.082254
FDX,277.74,1.010327
ZM,336.88,0.45943
ICE,121.27,0.820412
COP,49.72,1.140785
ITW,228.52,1.067239
SHW,273.92,1.019973
MMC,127.67,1.004738
EQIX,718.11,0.877967
D,79.38,0.872457
GPN,216.92,1.316644
ADSK,295.27,0.965762
APD,290.3,0.915632
COF,135.68,1.645332
BSX,42.73,1.136133
EW,97.45,1.070895
TWLO,384.64,1.074817
ILMN,414.97,0.82589
PGR,100.76,0.776071
ADI,159.02,1.047834
HUM,448.64,1.246521
BX,87.22,1.228812
VRTX,217.9,0.640613
ETN,142.97,1.197778
EMR,92.46,1.079424
ECL,226.78,1.146508
NXPI,201.56,1.323885
HCA,202.5,1.45085
NOC,342.04,0.79225
SNAP,61.3,1.206363
DG,213.31,0.673155
MCO,327.73,1.100466
WM,135.5,0.817429
NEM,65.72,0.748706
AON,230.89,1.082794
REGN,488.64,0.622487
MRNA,173.63,0.102553
TWTR,67.02,1.168728
KLAC,332.07,1.273496
FCX,36.54,1.56714
KMB,132.11,0.708247
IDXX,559.1,1.063751
WDAY,254.8,1.124594
MET,62.79,1.436339
F,12.22,1.353567
ROP,434.22,0.869409
DOW,62.11,1.133829
ROST,128.82,1.42218
JCI,62.9,1.112481
BAX,87.87,0.700622
EXC,44.91,1.156852
ALGN,620.12,1.441955
TEL,134.72,1.259184
AEP,87.7,0.993196
LHX,211.02,0.977892
GD,186.48,1.169047
IQV,232.3,1.245257
HPQ,34.42,1.214179
SYY,82.64,1.611057
PSA,276.77,0.824132
CTSH,78.69,1.060078
DLR,149.04,0.724095
SRE,137.07,1.090723
CMG,1468.53,1.082992
TT,175.33,1.154126
DD,76.81,1.163948
DOCU,224.84,0.762139
CRWD,219.3,0.696106
APH,68.8,1.109751
MCHP,156.38,1.39222
EA,143.14,0.702409
A,136.68,0.879772
PPG,174.65,1.093734
LULU,340.98,1.130585
STZ,240.58,1.331278
PH,318.12,1.392579
AIG,47.34,1.577961
DXCM,415,1.046301
EOG,69.06,1.116351
INFO,106.81,1.019767
TROW,178.56,1.045414
MAR,148.36,1.486499
TRV,157.84,1.108231
BIIB,262.63,0.859463
EBAY,60.91,1.049027
ROKU,356.87,1.20535
CDNS,142.08,0.982128
MSCI,486.5,0.930087
XEL,71.08,0.982484
CMI,262.47,0.987335
PINS,74.99,1.22569
PRU,98.5,1.450003
SPG,116.92,1.814382
GIS,61.26,0.483608
VEEV,280.63,0.743812
ALL,125.05,1.100308
CNC,65.37,1.110471
APTV,144.89,1.58276
BK,47.6,1.06765
SNPS,251.45,1.030312
WBA,53.02,0.801604
ORLY,532.61,1.016942
ZBH,177.62,1.18033
ALXN,166.92,0.76613
LUV,61.53,1.298313
MNST,98.68,0.993016
CSGP,933.73,0.971691
MRVL,46.1,1.200908
IFF,144.54,1.073027
CTVA,48.63,0.94495
GLW,46.25,1.200176
SLB,25.71,1.246896
YUM,117.72,1.21326
HLT,127.4,1.290299
PANW,358.42,1.051541
MPC,53,1.621102
LBRDK,159.63,0.971653
AFL,53.37,1.328059
OKTA,279.3,0.698517
SWK,209.09,1.375866
AZO,1471.35,1.077577
ADM,59.41,0.964495
PSX,76.49,1.150233
TDG,595.33,1.448421
SBAC,296.49,0.880653
KMI,16.78,1.089812
PAYX,99.23,1.121678
MSI,189.98,0.945505
ANSS,371.73,0.970759
PCAR,93.35,1.012485
PEG,62.94,1.083343
WELL,75.44,1.497241
AME,135.01,1.108224
MCK,196.1,0.897992
CTAS,353.72,1.168169
VRSK,188.88,0.89526
BLL,93.98,1.011586
FRC,179.12,1.064995
XLNX,129.66,0.881276
MTD,1335.15,0.946933
ROK,269.06,1.143564
PXD,146.45,1.108117
WEC,96.79,0.96163
ES,88.17,1.047852
DFS,102.84,2.002359
TTD,726.49,1.568045
DHI,98.21,1.267958
RMD,209.3,0.94533
SWKS,190.92,1.163656
WLTW,232.89,1.055726
AWK,159.36,1.035423
FAST,52.18,0.961388
KKR,55.1,1.335545
DAL,45.8,1.745373
WY,38.2,1.594331
KR,37.35,0.349779
WMB,23.61,1.191975
SIVB,564.22,1.260915
VLO,70.18,1.444217
LEN,101.86,1.431001
CBRE,82.9,1.380903
VFC,88.38,1.222088
FTNT,201.76,0.911988
STT,81.11,1.142476
KSU,301.62,1.076933
AMP,249.14,1.382742
AVB,193.88,1.316872
DLTR,115.56,0.772599
BBY,117.74,1.25576
DTE,137.83,1.117986
EFX,229.72,1.168553
KEYS,147.86,0.787535
KHC,40.41,0.842892
AJG,137.94,0.997826
USD,125.2,1.688543
RNG,322.53,0.714784
ED,77.45,0.787787
ETSY,214.59,1.477031
ZBRA,497.41,0.994437
LYB,104.41,1.403961
LH,263.95,1.198333
FITB,38.34,1.588521
O,69.4,1.306564
EQR,74.58,1.224202
CDW,182.61,1.316503
EPAM,458.15,0.983428
MXIM,96.19,0.992445
CPRT,124.68,1.161528
FTV,73.96,1.113836
ODFL,257.76,0.982595
EXPE,177.56,1.625085
VIAC,41.71,1.334066
WST,323.68,0.757365
FLT,291.37,1.149581
DELL,101.41,1.15946
HUBS,564.63,1.239542
HSY,161.43,0.824851
CERN,75.56,0.883414
VMC,176.57,1.090968
TSN,78.7,0.831911
TDOC,182.45,0.45927
HIG,68.33,1.324811
ARE,179.35,0.992164
CLX,188.54,0.386519
OKE,50.6,1.581306
MKC,91.47,0.690623
URI,318.94,1.517596
PPL,29.16,1.301454
NUE,77.83,1.040588
NTRS,109.53,1.083848
W,308.18,2.035702
CHD,87.56,0.496011
RSG,106.39,0.925249
EIX,59.19,1.087374
SPLK,133.2,1.045061
EXAS,133.96,0.890298
IP,56.78,0.992641
SYF,40.68,1.700756
BURL,328.04,1.267215
WORK,42.56,0.947316
TSCO,189.38,0.851947
ETR,106.71,1.165349
DOV,148.14,1.27737
MLM,350.82,1.191639
VRSN,211.47,0.791871
CCL,27.27,1.864119
QRVO,193.92,1.071467
AEE,84.78,0.948409
GRMN,141.355,0.990208
HPE,16.42,1.12672
KDP,36.18,0.707346
KMX,131.08,1.597381
TER,131.53,1.364899
HZNP,94.63,0.811475
TTWO,176.19,0.716431
ENPH,166.97,1.547414
Z,137,1.765794
TRMB,82.54,1.294257
OXY,24.65,1.611439
VTR,54.77,1.796682
TFX,443.71,1.099055
GNRC,330.58,1.110722
WDC,68.07,1.486028
FE,36.7,1.018589
RF,20.63,1.410946
XYL,110.48,1.072415
MTB,153.12,1.139903
INVH,33.94,1.277368
COO,411.31,0.929112
IR,51.62,1.134136
LVS,59.76,1.1415
CTLT,114.89,1.092287
HOLX,73.36,1.045169
ESS,297.34,1.286559
TRU,103.27,1.308618
CZR,95.74,2.859999
AES,28.3,1.208085
COUP,268.13,0.76299
KEY,20.77,1.510089
WAT,306.5,0.86361
PAYC,399.59,1.241524
MKTX,507.46,0.686928
CAG,37.61,0.65946
EXR,147.54,0.924694
TYL,451.5,0.7512
CMS,64.13,0.961381
BR,162.63,0.822929
PEAK,33.99,1.377935
DRI,143.97,1.78903
AMCR,11.73,0.906043
RCL,85.81,2.18238
STE,214.82,0.895747
ALLY,48.9,1.743299
PODD,295.5,1.028729
SUI,161.14,1.071796
ULTA,328.44,1.421326
EXPD,110.84,0.913225
ALB,161.23,1.327892
SGEN,147.23,0.679306
HES,67.29,1.184915
GWW,423.56,1.103577
NDAQ,162.47,0.990051
CFG,44.93,1.425387
MAA,155.19,1.245912
ABC,121.65,0.79259
CAH,61.41,0.928451
J,137.14,1.058955
IT,199.42,1.382673
IEX,225.19,0.998264
CE,157.3,1.215045
OMC,81.23,1.02553
CTXS,140.48,0.610822
ZEN,147.52,1.049086
DGX,131.21,0.95057
GPC,122.33,1.252044
AKAM,107.01,0.714904
ANET,318.64,0.996578
LNG,74.19,0.914757
NTAP,76.94,1.094533
AVTR,33.18,0.993066
HAL,19.06,1.592772
STX,89.15,1.023448
MGM,41.51,1.97263
NVCR,207.63,0.974015
CINF,109.36,1.07842
ON,42.55,1.441861
DRE,45.37,1.095534
TECH,432.47,0.923925
AVY,202.16,1.150266
NVR,4862.59,1.257019
K,63.28,0.630254
CVNA,278.01,2.203068
MKL,1188.84,1.202232
MAS,64.75,1.173343
CRL,334.34,1.174427
VICI,30.8,1.449307
ACGL,39.99,1.354129
TDY,443.46,1.188371
UAL,53.11,1.947747
VTRS,13.36,0.927205
ALNY,136.72,0.732909
PCG,10.97,1.803033
INCY,85.58,0.709998
POOL,419.53,0.942853
SSNC,72.48,1.313666
RJF,129.55,1.073734
MDB,306.18,0.880592
LYFT,63.7,1.679188
PTC,147.34,1.263768
MPWR,380.79,1.158314
FICO,542.49,1.195622
ABMD,351.03,1.026635
DPZ,397.71,0.701364
LB,67.38,1.779163
NUAN,53.09,0.976547
BXP,106.05,1.253101
EMN,113.6,1.322794
PFG,62.71,1.552858
PKI,134.97,0.841345
ENTG,113.15,1.161153
HBAN,14.9,1.279166
EVRG,63.48,1.051234
WAB,85.41,1.361656
BMRN,78.73,0.763852
ZS,190.26,0.591021
FBHS,104.9,1.504451
ELAN,30.88,1.183091
CGNX,85.67,0.885103
FMC,115.9,1.230844
LNT,56.44,1.015125
BKR,20.01,1.397441
CCK,109.61,1.239281
SJM,129.77,0.506392
SEDG,279.43,1.449996
PHM,53.91,1.634241
WHR,238.94,1.364383
MOH,255.44,1.142726
GDDY,84.89,1.112361
JBHT,169.2,0.915497
NVAX,207.61,-0.22224
UDR,46.78,1.289901
XRAY,66.2,1.130557
SBNY,238.84,1.158373
FANG,76.13,1.524414
PWR,97.64,1.159419
WRK,53.3,1.140285
XPO,136.87,1.683249
BIO,640.42,0.697129
ATO,103.35,0.90689
PLUG,27.98,1.438286
TXT,60.43,1.438425
CNP,24.13,1.384143
HRL,46.39,0.409984
SNA,238.69,1.13475
WSM,172.69,1.240174
CHRW,99.78,0.653828
PENN,89.74,2.255978
GH,158.25,0.800439
LDOS,100.66,1.171234
GGG,77.75,0.919767
VMW,165.74,1.024141
WYNN,124.15,1.845019
NLOK,22.25,0.84049
PKG,142.33,0.805321
WPC,73.38,1.370182
CHGG,92.03,1.057206
LUMN,13.04,0.879203
FOXA,38.41,0.987823
AAL,21.11,1.858874
EQH,33.92,1.601024
MPW,22.64,1.327458
MTN,333.41,1.145217
FFIV,209.64,0.920087
AAP,199.75,1.342036
FNF,45.1,1.389963
HAS,97.15,1.3325
LKQ,44.99,1.538169
MASI,246.28,0.846664
TTC,116.35,0.910602
L,55.21,1.172642
HST,17.29,1.202484
CREE,114.77,1.078734
RPM,94.77,1.204436
ALLE,138.35,1.197077
JKHY,169.59,0.890242
HWM,31.96,1.468118
DVN,21.44,1.499996
CDAY,94.22,1.2011
TREX,106.76,1.326824
FDS,347.1,0.981175
BWA,50.97,1.277925
TPR,46.36,1.660592
NLY,8.9,1.402043
AVLR,146.7,1.040253
BG,85.1,1.011555
IRM,40.32,1.023687
CPT,118.71,1.188428
BRO,50.48,1.008447
MOS,33.95,1.226926
BAH,83.36,0.901013
LW,81.34,1.280797
FND,113.72,1.455482
ELS,68.57,1.105894
IPG,29.72,1.335875
LYV,81.78,1.57158
DAR,71.86,1.380508
SAM,1283.9,0.856021
BKI,73.79,0.882099
UHS,145.51,1.338743
LII,334.46,1.016736
TPL,1472.68,1.186485
APO,53.19,1.452606
LNC,63.62,2.1311
MHK,203.34,1.669882
LPLA,148.58,1.288174
RH,687.99,1.85398
NDSN,213.93,1.196777
RGEN,218.32,0.786692
CBOE,104.37,0.787495
WTRG,47.97,1.035304
WRB,81.36,1.122994
ZNGA,10.67,0.774288
WAL,106.73,1.326415
FIVE,195.64,1.480064
NI,25.72,0.999652
NCLH,29.81,2.042015
FIVN,175.4,0.629381
AZPN,150.87,1.227182
PRAH,166.8,1.224042
WU,26.33,1.042887
EWBC,76.15,1.196477
NWL,26.54,1.17418
HSIC,74.22,1.052083
RE,266.82,1.027887
NWSA,26.73,1.013459
PNR,64.31,1.307334
LAD,390.7,1.563093
AXON,153.94,1.192096
OC,95.85,1.435598
CPB,48.77,0.511762
FHN,17.97,1.422481
ACM,67.35,1.385718
MIDD,182.06,1.57174
HUBB,191.12,1.06685
RHI,87,1.163427
BFAM,163.49,1.398424
DISH,42.48,1.219223
LEA,187.56,1.353538
ARMK,39.51,1.422424
STLD,51.89,1.092615
TAP,52.27,0.958288
PEN,297.73,0.909756
CABO,1846.14,0.884842
AMH,35.66,1.153959
COLD,39.26,0.754623
CF,47.32,1.183723
PNW,83.81,1.129565
GLPI,45.94,1.606901
WEX,227.23,1.75878
WSO,292.27,0.802343
GL,103.08,1.22103
OLED,223.57,1.212659
RS,157.49,1.04765
FWONK,47.24,1.191431
BLDR,48.77,1.625309
Y,679.85,1.207551
AMED,284.57,0.627166
MKSI,185.3,1.256003
ST,59.97,1.294576
AGCO,153.72,1.29635
ATR,151.45,0.799855
REG,62.12,1.354488
DISCK,32.45,1.014875
IVZ,26.51,1.419211
VER,41.91,1.434608
UGI,44.19,1.065336
CMA,70.45,1.35734
KSS,59.47,2.011789
DECK,343.77,1.346614
CSL,190.48,1.15126
UTHR,207.5,0.626489
CONE,74.29,0.989486
JAZZ,166.73,0.887885
JLL,178.22,1.385916
RNR,172.17,1.071531
KIM,20.37,1.334777
LBTYK,25.07,0.791613
SMG,232.84,1.102195
NLSN,25.6,0.93724
GNTX,35.35,1.058925
NRG,37.12,1.233836
ZION,54.27,1.183728
RGA,129.6,1.653877
AFG,123.78,1.536873
AGNC,17.47,1.282626
RUN,55.69,1.790893
AOS,68.36,1.022825
OHI,37.89,1.408244
CUBE,42.03,1.042758
GWRE,104.94,0.845828
ARW,118.51,1.162303
NBIX,96.73,0.758235
EHC,88.64,1.212231
LAMR,98.72,1.672201
HII,206.13,0.982774
VST,17.49,1.107088
ATUS,35.14,1.02021
STOR,35.73,1.381551
SCI,53.23,1.047165
CIEN,54.46,0.95976
VOYA,67.3,1.388073
DVA,113.6,1.078084
USFD,39.43,1.873556
MRO,10.67,1.290667
CASY,224.04,0.907093
AIZ,155.79,0.980824
ALK,69.21,1.687149
NNN,47.19,1.433426
BERY,62.48,1.086202
NTRA,111.79,0.931042
GME,151.18,-0.21913
IAA,60.85,1.385984
PII,146.45,1.427506
ITT,94.39,1.182787
PLAN,62.01,1.397337
CLF,17.98,1.541228
TW,80.23,0.745931
IIVI,77.87,1.121974
LSXMK,46.61,1.323565
EEFT,149.6,1.283962
G,45.1,1.176378
BC,104.52,1.594192
HRC,115.92,0.858705
ALV,105.85,1.485591
IPGP,227.99,0.996905
CBSH,77.23,0.857117
BEN,29.42,1.014106
ROL,35.8,0.691609
FLIR,59.55,1.283665
MANH,124.24,1.262866
SITE,181.76,1.383481
PVH,109.44,1.995755
OSK,124.52,1.138764
CPRI,53.8,1.983329
JNPR,25.3,0.969382
LECO,126.48,0.989844
EXEL,24.73,0.81599
RP,88.72,0.933401
DCI,62.1,1.046115
LSCC,54.82,1.118364
PFPT,131.78,0.915419
RGLD,118.14,0.851687
FRT,109.83,1.294215
CHE,467.81,0.903312
CHDN,215.89,1.624546
FRPT,172.69,1.075239
DBX,26.255,0.732944
SEE,48.39,1.077434
THO,140.94,1.512934
FSLR,88.56,1.065602
PCTY,195.4,1.277293
VAC,179,1.925587
DXC,31.87,1.593395
ESTC,125.03,1.009942
LSI,94.85,1.117103
REXR,55.23,1.17037
TRGP,33.94,1.791232
HBI,20.93,1.068336
HOG,48.01,1.356941
MAT,21.05,1.203805
SYNH,88.55,1.527847
KRC,67.03,1.185776
NYT,47.24,0.840034
BRKR,69.51,0.960137
ARWR,71.59,0.890644
LITE,94.08,1.140758
MRTX,155.66,0.891853
TTEK,133.94,1.04864
GPS,34.01,1.82569
PFGC,56.26,1.954396
ATH,57.79,2.007481
BLD,225,1.496875
SF,69.29,1.378823
MDU,33.44,1.223336
TPX,39.98,1.768839
BRKS,102.74,1.513196
PLNT,83.81,1.980736
FATE,85.34,0.869657
NXST,153.75,1.534205
LPX,67.6,1.646141
VNO,44.82,1.463211
SEIC,57.85,1.245552
PBCT,17.9,1.023412
POST,113.08,0.895873
TOL,60.79,1.817031
FFIN,48.19,0.927536
STWD,25.53,1.725499
RARE,109.87,0.985208
PB,76.76,1.036452
TCF,44.38,1.500148
SMAR,62.03,0.672218
SIRI,6.38,1.100301
LHCG,213.1,0.854404
COHR,269.84,1.314577
SNV,46.73,1.520839
FAF,64.29,1.404209
JBL,54.23,1.522591
AXTA,32.51,1.339797
RDFN,65.64,1.905857
XLRN,122.13,0.811995
CACI,254.47,0.998275
WWD,124.18,1.587004
PNFP,88.65,1.26344
WH,74.08,1.658883
CDK,54.3,1.100005
LFUS,275.94,1.080424
LEG,50.5,1.359064
PRI,160.14,1.597538
BYND,131.42,1.28851
EME,120.96,1.228724
BWXT,67.37,0.88742
INGR,92.86,0.925345
FOXF,157.67,1.233984
HTA,28.85,1.11262
AMG,158.14,1.266445
CLVT,25.97,0.965823
OGE,32.95,1.247232
APA,18.18,1.973966
TMX,49.04,0.799345
TXRH,100.36,1.428409
NVTA,36.8,1.437796
EGP,154.93,1.20011
COG,16.12,0.75027
SON,65.42,0.941692
DLB,99.85,0.943153
GRUB,72.61,1.264533
BRX,21.7,1.473002
ORI,24.17,1.251958
CHWY,80.59,0.707923
FR,48.74,1.133003
SLAB,154.6,1.115286
FL,59.06,1.317908
FCNCA,885.08,1.254508
THC,55.7,2.226723
AA,34.71,1.712246
LSTR,171.73,0.762189
SAIA,241.89,1.074105
RXN,50.99,1.261883
MAN,119.8,1.101525
CLGX,79.9,1.141539
INSP,227.68,1.509963
YETI,87.83,1.550897
HQY,73.53,1.314011
JEF,32.5,1.34416
ACC,45.72,1.469119
UNM,28.77,1.696753
TKR,83.73,1.315091
DISCA,38.4,0.998605
XEC,62.62,1.236658
IONS,42.69,0.795895
SRCL,70.24,1.07827
SKX,51.9,1.28879
NEO,50.67,0.868352
NATI,45.83,1.104739
HALO,50.46,1.060373
EVR,141.53,1.463068
SLM,19.35,1.14177
CFR,115.55,1.102271
STAA,133.8,0.841433
AEO,37.87,1.343914
JBLU,20.28,1.776915
MTZ,101.64,1.306222
OLN,40.94,1.153328
FOX,37.34,1.048379
TDC,52.18,0.980802
OMCL,139.62,0.96546
HUN,28.31,1.213468
TWST,133.12,1.168915
OVV,22.57,1.756555
PRGO,41.83,0.963391
MMS,93.09,0.902112
PACB,30.96,1.39687
NVRO,165.7,1.302098
ERIE,229.03,0.336927
BJ,43.98,0.59608
VLY,14.01,1.180246
X,23.71,1.210335
RL,125.48,1.355426
BL,120.05,0.965126
TNL,64.35,1.712457
NYCB,11.99,0.788538
HEI,139.2,1.286606
SSB,83.16,1.028559
AYI,178.14,1.204194
SRPT,70.94,0.867188
OLLI,95.91,0.933517
RBC,148.66,1.122734
